api_blended,real,model
47017061590000,3764.382897499999,4224.18603515625
37081206980000,3291.1266175499986,4206.3779296875
37059258760100,4214.061897542001,4145.34716796875
37015219950000,5248.858280099999,5516.57958984375
37059253670100,1621.4414945899994,1827.6953125
37115203480000,3773.50701823,4626.255859375
37115212200000,5791.573777000002,4508.5419921875
37015220210000,5557.066834099999,4522.00537109375
37059252680000,1699.4901980099994,2101.4296875
37115211540000,8082.038145199998,8347.34765625
37059254710000,1666.45223922,2183.192138671875
37015216140000,1432.7026628699996,1330.133056640625
37015227560000,7453.610527550001,6614.28955078125
37115201910100,3363.4434159700004,1774.001708984375
37059256070000,1395.41787545,1529.7320556640625
47103028800000,3187.01796612,3380.193603515625
37015222030000,9969.088757700001,8084.65673828125
47061016680000,4155.078767000001,4379.775390625
37115211940000,4016.7020738399997,5699.130859375
47103024270000,2475.9834163929986,2452.783447265625
37081203840000,1929.961956100001,1889.89306640625
37015227630000,4203.3287796700015,4973.345703125
37117208490000,871.1767996900003,1159.5057373046875
37081203770000,2681.179417629999,2425.929931640625
37081208160000,2138.1398877800016,2220.28564453125
37081211680000,3130.61693065,2890.991455078125
37115201800000,4109.87090892,3436.368408203125
37117212300000,1126.0339440999999,1166.5101318359375
37117215510000,2996.1539630899997,3421.386962890625
37117213590000,1404.17319716,2130.341552734375
37115206070000,2897.8499494300013,3251.8974609375
37115204640000,1915.6720556599994,2436.644775390625
37019218500000,2297.4330803000003,2682.6689453125
37115202280000,3858.1518234999994,2516.186279296875
37115215890000,13771.108007899998,13308.5693359375
37059257550000,4862.672695599998,3595.37890625
37081203950000,1882.4284755099998,1945.1287841796875
37081202770000,1505.25895624,976.5584716796875
37015208090000,2351.8012589300006,2191.010498046875
37125243010000,1217.4444065,1619.2740478515625
37117214670000,1819.8805847100011,2118.361572265625
37115208170000,5496.20971464,5120.37255859375
37059263060000,6601.095686099998,4785.60205078125
37125273290000,5304.203652769998,4869.46435546875
37115208340000,4994.484827199998,5579.4765625
37015220560000,2901.8796720599994,3904.583984375
37019221540000,2989.6184270999993,3405.22216796875
37113201500000,1511.03548992,2493.814208984375
37081204880000,3158.3939698,3028.748046875
37115206430000,1705.7697466699994,1973.946533203125
37019220780000,3291.976516199999,3622.51171875
47017063580000,3534.169051799998,3380.642333984375
47103026810000,2841.6315151299996,2487.642578125
37003221970000,2316.727711670001,1630.8226318359375
37081209220000,1380.5391105130275,1349.2774658203125
37033270010000,707.40112035,566.790283203125
37059263640000,4748.882463096768,4750.228515625
37015219400000,3658.398295400002,3829.9482421875
37081215720000,3529.4976048100007,2913.04150390625
37115207830000,4011.16364932,4763.7666015625
37081208150000,3166.6102051999983,3077.127197265625
37051245890000,3541.9693283999995,3217.117431640625
37081202200000,1869.6880532199998,1702.66650390625
37125246390000,1926.150977557,1770.8507080078125
37113200350000,979.958338902,1132.24560546875
37015203030000,4300.928097571001,5471.13232421875
37117213070000,810.0729015000001,1088.7113037109375
37015209660000,5571.465294060001,5228.03955078125
37125245650000,3479.484782299999,3510.84326171875
37131203160000,4107.4933299099985,6614.99609375
37015220140000,5461.6195935,4610.205078125
37059256500000,1650.652092369999,1544.017333984375
37115216660000,5884.309803,6932.58056640625
47103029340000,4024.6744378699996,4190.31591796875
37115212660000,7464.057057400003,5647.36865234375
