SEQUENCE;CODE;TITLE;REGION;GENERAL_NOTES;INCLUDES;ALSO_INCLUDES;EXCLUDES
3;"101";København;Hovedstaden;;;;
4;"147";Frederiksberg;Hovedstaden;;;;
5;"155";Dragør;Hovedstaden;;;;
6;"185";Tårnby;Hovedstaden;;;;
8;"165";Albertslund;Hovedstaden;;;;
9;"151";Ballerup;Hovedstaden;;;;
10;"153";Brøndby;Hovedstaden;;;;
11;"157";Gentofte;Hovedstaden;;;;
12;"159";Gladsaxe;Hovedstaden;;;;
13;"161";Glostrup;Hovedstaden;;;;
14;"163";Herlev;Hovedstaden;;;;
15;"167";Hvidovre;Hovedstaden;;;;
16;"169";Høje-Taastrup;Hovedstaden;;;;
17;"183";Ishøj;Hovedstaden;;;;
18;"173";Lyngby-Taarbæk;Hovedstaden;;;;
19;"175";Rødovre;Hovedstaden;;;;
20;"187";Vallensbæk;Hovedstaden;;;;
22;"201";Allerød;Hovedstaden;;;;
23;"240";Egedal;Hovedstaden;;;;
24;"210";Fredensborg;Hovedstaden;;;;
25;"250";Frederikssund;Hovedstaden;;;;
26;"190";Furesø;Hovedstaden;;;;
27;"270";Gribskov;Hovedstaden;;;;
28;"260";Halsnæs;Hovedstaden;;;;
29;"217";Helsingør;Hovedstaden;;;;
30;"219";Hillerød;Hovedstaden;;;;
31;"223";Hørsholm;Hovedstaden;;;;
32;"230";Rudersdal;Hovedstaden;;;;
34;"400";Bornholm;Hovedstaden;;;;
35;"411";Christiansø;Hovedstaden;;;;
38;"253";Greve;Sjælland;;;;
39;"259";Køge;Sjælland;;;;
40;"350";Lejre;Sjælland;;;;
41;"265";Roskilde;Sjælland;;;;
42;"269";Solrød;Sjælland;;;;
44;"320";Faxe;Sjælland;;;;
45;"376";Guldborgsund;Sjælland;;;;
46;"316";Holbæk;Sjælland;;;;
47;"326";Kalundborg;Sjælland;;;;
48;"360";Lolland;Sjælland;;;;
49;"370";Næstved;Sjælland;;;;
50;"306";Odsherred;Sjælland;;;;
51;"329";Ringsted;Sjælland;;;;
52;"330";Slagelse;Sjælland;;;;
53;"340";Sorø;Sjælland;;;;
54;"336";Stevns;Sjælland;;;;
55;"390";Vordingborg;Sjælland;;;;
58;"420";Assens;Syddanmark;;;;
59;"430";Faaborg-Midtfyn;Syddanmark;;;;
60;"440";Kerteminde;Syddanmark;;;;
61;"482";Langeland;Syddanmark;;;;
62;"410";Middelfart;Syddanmark;;;;
63;"480";Nordfyns;Syddanmark;;;;
64;"450";Nyborg;Syddanmark;;;;
65;"461";Odense;Syddanmark;;;;
66;"479";Svendborg;Syddanmark;;;;
67;"492";Ærø;Syddanmark;;;;
69;"530";Billund;Syddanmark;;;;
70;"561";Esbjerg;Syddanmark;;;;
71;"563";Fanø;Syddanmark;;;;
72;"607";Fredericia;Syddanmark;;;;
73;"510";Haderslev;Syddanmark;;;;
74;"621";Kolding;Syddanmark;;;;
75;"540";Sønderborg;Syddanmark;;;;
76;"550";Tønder;Syddanmark;;;;
77;"573";Varde;Syddanmark;;;;
78;"575";Vejen;Syddanmark;;;;
79;"630";Vejle;Syddanmark;;;;
80;"580";Aabenraa;Syddanmark;;;;
83;"710";Favrskov;Midtjylland;;;;
84;"766";Hedensted;Midtjylland;;;;
85;"615";Horsens;Midtjylland;;;;
86;"707";Norddjurs;Midtjylland;;;;
87;"727";Odder;Midtjylland;;;;
88;"730";Randers;Midtjylland;;;;
89;"741";Samsø;Midtjylland;;;;
90;"740";Silkeborg;Midtjylland;;;;
91;"746";Skanderborg;Midtjylland;;;;
92;"706";Syddjurs;Midtjylland;;;;
93;"751";Aarhus;Midtjylland;;;;
95;"657";Herning;Midtjylland;;;;
96;"661";Holstebro;Midtjylland;;;;
97;"756";Ikast-Brande;Midtjylland;;;;
98;"665";Lemvig;Midtjylland;;;;
99;"760";Ringkøbing-Skjern;Midtjylland;;;;
100;"779";Skive;Midtjylland;;;;
101;"671";Struer;Midtjylland;;;;
102;"791";Viborg;Midtjylland;;;;
105;"810";Brønderslev;Midtjylland;;;;
106;"813";Frederikshavn;Midtjylland;;;;
107;"860";Hjørring;Midtjylland;;;;
108;"849";Jammerbugt;Midtjylland;;;;
109;"825";Læsø;Midtjylland;;;;
110;"846";Mariagerfjord;Midtjylland;;;;
111;"773";Morsø;Midtjylland;;;;
112;"840";Rebild;Midtjylland;;;;
113;"787";Thisted;Midtjylland;;;;
114;"820";Vesthimmerlands;Midtjylland;;;;
115;"851";Aalborg;Midtjylland;;;;
