Table 1
Category,OED Code,AIR code,Name,Description,Code Range,Broad Category,,,,
Construction,5000,100,Unknown,The construction class is not known.,5000,Unknown,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5000, 'Unknown', 'The construction class is not known.', '5000', 'Unknown', '100')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5000, 'Unknown', 'The construction class is not known.', '5000', 'Unknown')",,
Construction,5050,101,"Wood, Wood frame","Wood frame (modern) structures tend to be mostly low rise (one to three stories, occasionally four). Stud walls are typically constructed of 2x4 or 2x6 inch wood members vertically set 16 or 24 inches apart. These walls are braced by plywood or by diagonals made of wood or steel. Many detached single and low-rise multiple family residences in the United States are of stud wall wood frame construction.",5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5050, 'Wood, Wood frame', 'Wood frame (modern) structures tend to be mostly low rise (one to three stories, occasionally four). Stud walls are typically constructed of 2x4 or 2x6 inch wood members vertically set 16 or 24 inches apart. These walls are braced by plywood or by diagonals made of wood or steel. Many detached single and low-rise multiple family residences in the United States are of stud wall wood frame construction.', '5050 - 5099', 'Wood', '101')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5050, 'Wood, Wood frame', 'Wood frame (modern) structures tend to be mostly low rise (one to three stories, occasionally four). Stud walls are typically constructed of 2x4 or 2x6 inch wood members vertically set 16 or 24 inches apart. These walls are braced by plywood or by diagonals made of wood or steel. Many detached single and low-rise multiple family residences in the United States are of stud wall wood frame construction.', '5050 - 5099', 'Wood')",,
Construction,5051,102,"Wood, Light wood frame","Light wood frame structures are typically not built in the United States but would be found in other countries, such as Japan. In Hawaii, this classification would include single wall (studless) construction framed with light timber trusses.",5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5051, 'Wood, Light wood frame', 'Light wood frame structures are typically not built in the United States but would be found in other countries, such as Japan. In Hawaii, this classification would include single wall (studless) construction framed with light timber trusses.', '5050 - 5099', 'Wood', '102')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5051, 'Wood, Light wood frame', 'Light wood frame structures are typically not built in the United States but would be found in other countries, such as Japan. In Hawaii, this classification would include single wall (studless) construction framed with light timber trusses.', '5050 - 5099', 'Wood')",,
Construction,5052,103,"Wood, Masonry veneer","A wood-framed structure faced with a single width of non-load-bearing concrete, stone, or clay brick attached to the stud wall.",5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5052, 'Wood, Masonry veneer', 'A wood-framed structure faced with a single width of non-load-bearing concrete, stone, or clay brick attached to the stud wall.', '5050 - 5099', 'Wood', '103')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5052, 'Wood, Masonry veneer', 'A wood-framed structure faced with a single width of non-load-bearing concrete, stone, or clay brick attached to the stud wall.', '5050 - 5099', 'Wood')",,
Construction,5053,104,"Wood, Heavy timber","Heavy Timber structures typically have masonry walls with heavy wood column supports, and floor and roof decks are 2-3 inch tongue-and-groove planks.",5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5053, 'Wood, Heavy timber', 'Heavy Timber structures typically have masonry walls with heavy wood column supports, and floor and roof decks are 2-3 inch tongue-and-groove planks.', '5050 - 5099', 'Wood', '104')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5053, 'Wood, Heavy timber', 'Heavy Timber structures typically have masonry walls with heavy wood column supports, and floor and roof decks are 2-3 inch tongue-and-groove planks.', '5050 - 5099', 'Wood')",,
Construction,5054,105,"Wood, Okabe",,5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5054, 'Wood, Okabe', '', '5050 - 5099', 'Wood', '105')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5054, 'Wood, Okabe', '', '5050 - 5099', 'Wood')",,
Construction,5055,106,"Wood, Shinkabe",,5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5055, 'Wood, Shinkabe', '', '5050 - 5099', 'Wood', '106')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5055, 'Wood, Shinkabe', '', '5050 - 5099', 'Wood')",,
Construction,5056,107,"Wood, Lightweight Cladding","Non-structural cladding and linings (e.g., fiber cement, plywood) used in lightweight construction that uses timber or light gauge steel framing as the structural support system.",5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5056, 'Wood, Lightweight Cladding', 'Non-structural cladding and linings (e.g., fiber cement, plywood) used in lightweight construction that uses timber or light gauge steel framing as the structural support system.', '5050 - 5099', 'Wood', '107')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5056, 'Wood, Lightweight Cladding', 'Non-structural cladding and linings (e.g., fiber cement, plywood) used in lightweight construction that uses timber or light gauge steel framing as the structural support system.', '5050 - 5099', 'Wood')",,
Construction,5057,108,"Wood, Hawaii indigenous material",Indigenous Hawaiian construction.,5050 - 5099,Wood,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5057, 'Wood, Hawaii indigenous material', 'Indigenous Hawaiian construction.', '5050 - 5099', 'Wood', '108')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5057, 'Wood, Hawaii indigenous material', 'Indigenous Hawaiian construction.', '5050 - 5099', 'Wood')",,
Construction,5100,111,"Masonry, Masonry","Use this option when the exterior walls are constructed of masonry materials, but detailed construction information is unavailable or unknown.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5100, 'Masonry, Masonry', 'Use this option when the exterior walls are constructed of masonry materials, but detailed construction information is unavailable or unknown.', '5100 - 5149', 'Masonry', '111')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5100, 'Masonry, Masonry', 'Use this option when the exterior walls are constructed of masonry materials, but detailed construction information is unavailable or unknown.', '5100 - 5149', 'Masonry')",,
