ID,Permutations,Functional,ABS
LONGITUDE,LONGITUDE Lon LON lon Longitude longitude shape_pt_lon,1,0
LATITUDE,LATITUDE Lat LAT lat Latitude latitude shape_pt_lat,1,0
DEVICE_ID,DEVICE VIN Vehicle_ID vehicle_id DEVICE_ID device_id Device_ID device_ID device Device ID id Id,0,0
DATE,DATE Date date ,0,0
TIME,TIME Time time device_time DEVICE_TIME Device_Time,1,0
ACCEL,ACCEL Accel accel ACCELERATION Acceleration acceleration LONGACCEL longaccel LongAccel Longaccel longAccel,1,1
DATE_TIME,DATE_TIME Date_Time date_time Date_time date_time DATETIME Datetime datetime DateTime,0,0
STEER_ANGLE,STEER_ANGLE STEERANGLE STEER ANGLE steerangle Steerangle SteerAngle steerAngle Steer steer steer_angle Steer_Angle,1,0
BEARING,BEARING Bearing bearing HEADING heading Heading,1,0
GPS SPEED,GPS SPEED GPS Speed (Meters/second) GPSSPEED GPSSpeed gpsSpeed,1,0
SPEED,SPEED speed Speed,1,0
TRIP,TRIP Trip trip TRIP_ID Trip_ID trip_ID tripID TRIPID TripID,1,0
BRAKESTATUS,BRAKESTATUS BrakeStatus brakeStatus Brakestatus Brake BRAKES,1,0
UTC,UTC utc Utc UTCTIME utctime utcTime UtcTime Utctime,0,0
LATITUDE.1,LATITUDE.1 LAT.1 Latitude.1 Lat.1 latitude.1 lat.1,1,0
LONGITUDE.1,LONGITUDE.1 LNG.1 LON.1 Longitude.1 Lng.1 Lon.1 longitude.1 lng.1 lon.1,1,0
