Crab Pulsar;05 34 31.9;+22 00 52.2;PSR
Galactic Centre;17 45 39.6;-29 00 22;UNID
PKS 2155-304;21 58 52.7;-30 13 18;HBL
Eta Carinae;10 45 3.7;-59 41 4.3;?
Moon;00 00 0;00 00 0;?
